LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
6.0,7.0,0.0,1.0,4.0,3.0,3.0,35.0,55.28,14.4,11467.22,0.27,139.0,0.07,637.07,796.18,61.0,78.0,36.0,17.0,49.0,1.0
9.0,9.0,0.0,2.0,5.0,5.0,1.0,58.0,60.41,14.0,11840.44,0.28,154.0,0.07,657.8,845.75,56.0,98.0,30.0,15.0,75.0,1.0
2.0,11.0,0.0,3.0,6.0,5.0,1.0,43.0,41.29,16.25,10902.2,0.22,133.0,0.06,605.68,670.9,50.0,83.0,20.0,13.0,52.0,0.0
6.0,19.0,0.0,6.0,10.0,10.0,1.0,57.0,49.46,16.5,13466.32,0.27,168.0,0.06,748.13,816.14,54.0,114.0,18.0,11.0,78.0,1.0
2.0,35.0,0.0,1.0,18.0,18.0,11.0,49.0,58.14,13.44,10502.26,0.26,150.0,0.07,583.46,781.42,56.0,94.0,25.0,12.0,54.0,1.0
3.0,9.0,0.0,2.0,5.0,4.0,4.0,43.0,37.93,16.5,10325.25,0.21,122.0,0.06,573.62,625.77,44.0,78.0,20.0,15.0,50.0,0.0
6.0,21.0,0.0,2.0,11.0,11.0,8.0,49.0,43.32,16.23,11407.1,0.23,133.0,0.06,633.73,702.96,42.0,91.0,22.0,17.0,59.0,1.0
5.0,9.0,0.0,1.0,5.0,4.0,1.0,48.0,74.95,13.19,13042.34,0.33,178.0,0.08,724.57,988.72,69.0,109.0,34.0,13.0,56.0,0.0
3.0,21.0,1.0,1.0,11.0,11.0,1.0,52.0,49.35,14.67,10627.05,0.24,138.0,0.07,590.39,724.21,45.0,93.0,23.0,15.0,59.0,1.0
12.0,13.0,0.0,6.0,7.0,6.0,1.0,59.0,63.37,14.03,12478.8,0.3,161.0,0.07,693.27,889.29,58.0,103.0,31.0,15.0,79.0,0.0
2.0,8.0,0.0,0.0,5.0,5.0,3.0,49.0,81.84,12.0,11784.37,0.33,174.0,0.08,654.69,982.03,56.0,118.0,35.0,15.0,53.0,1.0
4.0,11.0,0.0,4.0,6.0,5.0,1.0,50.0,49.98,16.37,13409.92,0.27,156.0,0.06,745.0,818.68,63.0,93.0,25.0,13.0,60.0,1.0
6.0,9.0,0.0,3.0,5.0,5.0,1.0,51.0,50.46,15.29,11794.86,0.26,144.0,0.07,655.27,771.49,53.0,91.0,26.0,15.0,68.0,1.0
5.0,5.0,0.0,2.0,1.0,1.0,1.0,30.0,42.65,16.96,12266.65,0.24,135.0,0.06,681.48,723.27,53.0,82.0,25.0,16.0,39.0,1.0
0.0,14.0,0.0,0.0,8.0,7.0,1.0,57.0,51.9,15.52,12497.82,0.27,145.0,0.06,694.32,805.42,50.0,95.0,29.0,18.0,63.0,1.0
9.0,11.0,1.0,2.0,6.0,5.0,4.0,39.0,40.95,17.25,12185.29,0.24,131.0,0.06,676.96,706.39,46.0,85.0,24.0,18.0,53.0,1.0
4.0,9.0,0.0,4.0,5.0,4.0,1.0,49.0,45.08,15.83,11291.12,0.24,138.0,0.06,627.28,713.45,56.0,82.0,23.0,13.0,59.0,1.0
9.0,11.0,0.0,4.0,6.0,6.0,1.0,51.0,49.98,15.83,12518.41,0.26,153.0,0.06,695.47,791.0,56.0,97.0,23.0,13.0,66.0,1.0
4.0,9.0,0.0,0.0,5.0,4.0,3.0,21.0,35.28,17.27,10524.82,0.2,113.0,0.06,584.71,609.33,38.0,75.0,22.0,20.0,27.0,0.0
7.0,9.0,0.0,10.0,5.0,2.0,1.0,39.0,51.09,16.0,13079.79,0.27,148.0,0.06,726.66,817.49,60.0,88.0,30.0,16.0,61.0,0.0
7.0,13.0,0.0,3.0,7.0,7.0,1.0,57.0,66.4,13.81,12667.99,0.31,167.0,0.07,703.78,917.14,68.0,99.0,32.0,13.0,73.0,1.0
1.0,11.0,0.0,2.0,6.0,6.0,1.0,41.0,45.99,16.2,12069.0,0.25,149.0,0.06,670.5,745.0,54.0,95.0,20.0,12.0,47.0,0.0
2.0,9.0,4.0,4.0,5.0,4.0,5.0,36.0,36.96,18.0,11974.34,0.22,125.0,0.06,665.24,665.24,44.0,81.0,22.0,18.0,48.0,1.0
6.0,7.0,0.0,2.0,4.0,3.0,3.0,36.0,57.62,13.78,10946.73,0.26,138.0,0.07,608.15,794.17,60.0,78.0,37.0,17.0,50.0,1.0
