BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
7.0,7.0,13.0,1.0,8.0,4.0,0.25,4.0,2.0,4.0,1.0,19.0,1.0,0.0,3.0,1.0,20.03,8.57,1471.49,0.06,42.0,0.12,81.75,171.67,0.25,2.0,4.0,17.0,0.21,12.0,30.0,7.0,10.0,19.0,82.35,16.0,1.0
5.0,2.0,7.0,0.0,8.0,3.0,0.38,4.0,2.0,3.0,1.0,12.0,1.0,0.0,1.0,0.0,25.4,8.36,1776.41,0.07,50.0,0.12,98.69,212.4,0.33,2.0,4.0,11.0,0.3,23.0,27.0,11.0,8.0,10.0,87.5,8.0,1.0
7.0,2.0,8.0,0.0,12.0,4.0,0.4,6.0,2.0,2.0,0.5,17.0,1.0,0.0,2.0,2.0,14.14,10.39,1526.6,0.05,34.0,0.1,84.81,146.95,0.25,3.0,6.0,15.0,0.33,17.0,17.0,9.0,11.0,12.0,80.0,10.0,1.0
3.0,1.0,4.0,2.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,8.0,1.0,0.0,1.0,1.0,12.68,11.25,1604.52,0.05,33.0,0.09,89.14,142.62,0.5,1.0,2.0,8.0,0.22,15.0,18.0,8.0,12.0,9.0,85.71,5.0,1.0
9.0,1.0,14.0,3.0,16.0,5.0,0.29,8.0,2.0,4.0,0.8,18.0,1.0,0.0,3.0,0.0,24.08,8.33,1672.29,0.07,45.0,0.12,92.9,200.67,0.2,4.0,8.0,15.0,0.23,20.0,25.0,12.0,10.0,22.0,85.0,17.0,0.0
5.0,2.0,5.0,0.0,8.0,3.0,0.43,4.0,2.0,3.0,1.0,12.0,1.0,0.0,2.0,0.0,7.83,14.3,1601.6,0.04,28.0,0.07,88.98,112.0,0.33,2.0,4.0,11.0,0.33,13.0,15.0,5.0,11.0,9.0,71.43,7.0,1.0
5.0,0.0,4.0,0.0,8.0,3.0,0.6,4.0,2.0,1.0,0.33,8.0,1.0,0.0,1.0,3.0,7.7,13.5,1403.51,0.03,29.0,0.07,77.97,103.96,0.33,2.0,4.0,7.0,0.38,9.0,20.0,3.0,9.0,8.0,80.0,5.0,1.0
5.0,3.0,11.0,4.0,8.0,3.0,0.25,4.0,2.0,1.0,0.33,15.0,1.0,0.0,1.0,0.0,25.96,8.17,1731.33,0.07,53.0,0.12,96.19,212.0,0.33,2.0,4.0,14.0,0.17,21.0,32.0,9.0,7.0,18.0,93.75,12.0,1.0
3.0,0.0,3.0,8.0,4.0,2.0,0.4,2.0,2.0,1.0,0.5,6.0,1.0,0.0,2.0,0.0,10.98,11.92,1558.69,0.04,32.0,0.08,86.59,130.8,0.5,1.0,2.0,6.0,0.13,13.0,19.0,6.0,11.0,15.0,84.62,5.0,1.0
3.0,8.0,7.0,9.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,14.0,1.0,0.0,1.0,0.0,26.49,7.54,1505.47,0.07,42.0,0.13,83.64,199.71,0.5,1.0,2.0,14.0,0.11,14.0,28.0,13.0,14.0,19.0,94.12,8.0,1.0
3.0,2.0,6.0,1.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,7.0,1.0,0.0,3.0,2.0,11.06,11.14,1372.69,0.04,29.0,0.09,76.26,123.19,0.5,1.0,2.0,7.0,0.17,13.0,16.0,7.0,12.0,12.0,70.0,9.0,1.0
5.0,5.0,5.0,0.0,6.0,3.0,0.5,2.0,3.0,2.0,0.67,13.0,3.0,1.0,1.0,1.0,8.75,14.3,1788.9,0.04,30.0,0.07,99.38,125.1,1.0,2.0,3.0,12.0,0.38,11.0,19.0,5.0,13.0,8.0,83.33,6.0,1.0
3.0,1.0,7.0,0.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,8.0,1.0,0.0,2.0,5.0,15.3,10.69,1747.39,0.05,40.0,0.09,97.08,163.5,0.5,1.0,2.0,8.0,0.13,19.0,21.0,8.0,9.0,15.0,77.78,9.0,1.0
3.0,5.0,5.0,0.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,12.0,1.0,0.0,1.0,2.0,14.87,9.75,1413.23,0.05,33.0,0.1,78.51,144.95,0.5,1.0,2.0,12.0,0.25,12.0,21.0,8.0,13.0,8.0,83.33,6.0,1.0
11.0,5.0,16.0,57.0,20.0,6.0,0.25,10.0,2.0,5.0,0.83,23.0,1.0,0.0,8.0,0.0,36.62,7.08,1833.96,0.09,59.0,0.14,101.89,259.14,0.17,5.0,10.0,19.0,0.07,23.0,36.0,13.0,8.0,83.0,90.12,24.0,1.0
5.0,4.0,11.0,1.0,8.0,3.0,0.23,4.0,2.0,3.0,1.0,11.0,3.0,1.0,2.0,3.0,20.81,9.0,1685.67,0.06,42.0,0.11,93.65,187.3,1.0,2.0,4.0,10.0,0.17,18.0,24.0,11.0,11.0,18.0,85.71,13.0,1.0
5.0,2.0,3.0,0.0,8.0,3.0,0.75,4.0,2.0,2.0,0.67,12.0,1.0,0.0,1.0,3.0,8.94,14.0,1751.37,0.04,30.0,0.07,97.3,125.1,0.33,2.0,4.0,11.0,0.43,14.0,16.0,6.0,12.0,7.0,75.0,4.0,1.0
3.0,1.0,5.0,0.0,4.0,2.0,0.29,2.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,4.0,9.07,12.6,1439.18,0.04,30.0,0.08,79.95,114.22,0.5,1.0,2.0,7.0,0.18,14.0,16.0,5.0,9.0,11.0,71.43,7.0,1.0
7.0,5.0,10.0,3.0,10.0,4.0,0.33,4.0,2.5,3.0,0.75,14.0,1.0,0.0,2.0,2.0,27.19,7.86,1678.42,0.07,46.0,0.13,93.25,213.62,0.25,3.0,5.0,12.0,0.24,20.0,26.0,14.0,11.0,17.0,86.67,12.0,1.0
5.0,0.0,9.0,0.0,8.0,3.0,0.25,4.0,2.0,1.0,0.33,8.0,1.0,0.0,3.0,4.0,9.59,13.5,1748.46,0.04,35.0,0.07,97.14,129.52,0.33,2.0,4.0,7.0,0.2,12.0,23.0,4.0,9.0,15.0,75.0,12.0,1.0
5.0,4.0,9.0,0.0,8.0,3.0,0.27,4.0,2.0,3.0,1.0,12.0,1.0,0.0,2.0,1.0,15.89,9.63,1471.91,0.05,36.0,0.1,81.77,152.93,0.33,2.0,4.0,11.0,0.23,14.0,22.0,8.0,11.0,13.0,81.82,11.0,1.0
5.0,0.0,8.0,2.0,8.0,3.0,0.3,4.0,2.0,1.0,0.33,12.0,1.0,0.0,2.0,3.0,19.9,8.8,1541.2,0.06,42.0,0.11,85.62,175.14,0.33,2.0,4.0,11.0,0.18,22.0,20.0,10.0,8.0,17.0,83.33,10.0,1.0
3.0,5.0,5.0,2.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,9.0,1.0,0.0,1.0,2.0,20.94,8.18,1401.55,0.06,39.0,0.12,77.86,171.3,0.5,1.0,2.0,9.0,0.17,18.0,21.0,11.0,10.0,12.0,87.5,6.0,1.0
7.0,5.0,9.0,0.0,10.0,4.0,0.4,4.0,2.5,3.0,0.75,14.0,1.0,0.0,1.0,2.0,25.87,7.69,1531.05,0.07,44.0,0.13,85.06,199.04,0.25,3.0,5.0,12.0,0.33,20.0,24.0,13.0,10.0,12.0,90.0,10.0,1.0
5.0,3.0,6.0,0.0,8.0,3.0,0.43,4.0,2.0,2.0,0.67,13.0,1.0,0.0,1.0,0.0,10.38,12.07,1512.98,0.04,29.0,0.08,84.05,125.34,0.33,2.0,4.0,12.0,0.33,13.0,16.0,7.0,13.0,9.0,85.71,7.0,1.0
5.0,4.0,5.0,0.0,8.0,3.0,0.5,4.0,2.0,2.0,0.67,13.0,1.0,0.0,1.0,4.0,19.31,8.89,1525.99,0.06,42.0,0.11,84.78,171.67,0.33,2.0,4.0,12.0,0.33,20.0,22.0,9.0,8.0,9.0,83.33,6.0,1.0
5.0,3.0,6.0,1.0,8.0,3.0,0.43,4.0,2.0,3.0,1.0,12.0,3.0,1.0,1.0,0.0,7.67,13.75,1450.43,0.04,27.0,0.07,80.58,105.49,1.0,2.0,4.0,11.0,0.3,10.0,17.0,4.0,11.0,10.0,87.5,7.0,1.0
7.0,1.0,9.0,1.0,12.0,4.0,0.33,6.0,2.0,2.0,0.5,15.0,4.0,1.0,3.0,2.0,14.31,10.0,1430.61,0.05,35.0,0.1,79.48,143.06,1.0,3.0,6.0,13.0,0.27,14.0,21.0,7.0,10.0,15.0,76.92,12.0,1.0
3.0,3.0,6.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,0.0,8.05,14.67,1731.08,0.04,31.0,0.07,96.17,118.03,0.5,1.0,2.0,7.0,0.2,8.0,23.0,3.0,11.0,10.0,75.0,8.0,1.0
5.0,6.0,7.0,6.0,8.0,3.0,0.38,4.0,2.0,3.0,1.0,13.0,1.0,0.0,1.0,2.0,20.73,8.73,1579.13,0.06,40.0,0.11,87.73,180.94,0.33,2.0,4.0,12.0,0.19,16.0,24.0,11.0,12.0,16.0,92.86,8.0,1.0
3.0,2.0,5.0,0.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,7.0,1.0,0.0,1.0,1.0,8.0,15.0,1800.0,0.04,30.0,0.07,100.0,120.0,0.5,1.0,2.0,7.0,0.25,10.0,20.0,4.0,12.0,8.0,83.33,6.0,1.0
5.0,21.0,26.0,100.0,8.0,3.0,0.1,4.0,2.0,3.0,1.0,29.0,1.0,0.0,3.0,0.0,119.94,3.62,1572.37,0.14,84.0,0.28,87.35,434.27,0.33,2.0,4.0,28.0,0.02,30.0,54.0,29.0,7.0,131.0,97.67,29.0,1.0
9.0,2.0,6.0,0.0,12.0,5.0,0.71,4.0,3.0,4.0,0.8,16.0,5.0,1.0,1.0,1.0,7.87,15.0,1770.42,0.04,31.0,0.07,98.36,118.03,1.0,4.0,6.0,13.0,0.56,12.0,19.0,4.0,10.0,9.0,85.71,7.0,1.0
3.0,2.0,6.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,3.0,12.09,11.33,1553.4,0.05,36.0,0.09,86.3,137.06,0.5,1.0,2.0,7.0,0.18,17.0,19.0,6.0,8.0,11.0,75.0,8.0,1.0
3.0,4.0,6.0,12.0,4.0,2.0,0.29,2.0,2.0,1.0,0.5,10.0,1.0,0.0,1.0,1.0,14.0,10.67,1592.95,0.05,34.0,0.09,88.5,149.34,0.5,1.0,2.0,10.0,0.1,16.0,18.0,9.0,12.0,21.0,94.74,7.0,1.0
5.0,4.0,4.0,2.0,8.0,3.0,0.6,4.0,2.0,3.0,1.0,12.0,1.0,0.0,1.0,3.0,17.8,10.05,1796.26,0.06,39.0,0.1,99.79,178.81,0.33,2.0,4.0,11.0,0.25,17.0,22.0,11.0,13.0,12.0,85.71,5.0,1.0
21.0,3.0,22.0,13.0,40.0,11.0,0.46,20.0,2.0,11.0,1.0,43.0,1.0,0.0,2.0,2.0,102.3,4.13,1740.72,0.14,86.0,0.24,96.71,421.99,0.09,10.0,20.0,34.0,0.29,33.0,53.0,24.0,6.0,38.0,94.59,24.0,1.0
7.0,5.0,10.0,3.0,10.0,4.0,0.33,4.0,2.5,3.0,0.75,14.0,1.0,0.0,2.0,2.0,27.02,8.25,1838.97,0.07,48.0,0.12,102.16,222.91,0.25,3.0,5.0,12.0,0.24,21.0,27.0,14.0,11.0,17.0,86.67,12.0,1.0
