LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
9.0,49.0,6.0,9.0,52.0,76.0,25.0,0.36,28.0,13.0,0.52,100.0,6.0,0.21,61.0,1.0,15.0,0.6,18.7,91.25,155679.37,0.57,330.0,0.01,8648.85,1706.08,0.24,24.0,38.0,77.0,0.19,146.0,184.0,16.0,20.0,133.0,50.0,70.0,b'N'
14.0,60.0,9.0,7.0,27.0,104.0,31.0,0.24,48.0,26.0,0.84,126.0,1.0,0.0,121.0,0.0,31.0,1.0,87.83,42.11,155774.83,1.23,567.0,0.02,8654.16,3698.86,0.03,28.0,52.0,97.0,0.18,268.0,299.0,70.0,22.0,171.0,21.94,128.0,b'Y'
2.0,15.0,15.0,10.0,23.0,28.0,8.0,0.14,14.0,6.0,0.75,95.0,1.0,0.0,47.0,0.0,7.0,0.88,55.92,56.28,177090.67,1.05,573.0,0.02,9838.37,3146.83,0.13,7.0,14.0,89.0,0.09,204.0,369.0,29.0,16.0,85.0,41.25,57.0,b'Y'
10.0,17.0,1.0,0.0,17.0,32.0,9.0,0.12,16.0,2.0,0.22,50.0,1.0,0.0,73.0,0.0,9.0,1.0,45.32,64.72,189857.5,0.98,544.0,0.02,10547.64,2933.42,0.11,8.0,16.0,43.0,0.09,233.0,311.0,27.0,15.0,102.0,18.89,73.0,b'N'
4.0,43.0,1.0,3.0,0.0,84.0,22.0,0.05,42.0,2.0,0.09,137.0,1.0,0.0,479.0,0.0,5.0,0.23,1643.15,10.81,192184.74,5.92,2029.0,0.09,10676.93,17770.43,0.05,21.0,42.0,117.0,0.05,1019.0,1010.0,424.0,9.0,487.0,0.62,482.0,b'N'
22.0,32.0,6.0,25.0,5.0,48.0,19.0,0.14,24.0,16.0,0.84,76.0,16.0,0.83,112.0,7.0,19.0,1.0,55.88,57.3,183485.55,1.07,519.0,0.02,10193.64,3202.19,0.84,12.0,24.0,59.0,0.11,191.0,328.0,45.0,27.0,173.0,21.13,137.0,b'Y'
4.0,65.0,4.0,1.0,3.0,128.0,33.0,0.2,64.0,2.0,0.06,160.0,1.0,0.0,161.0,0.0,32.0,0.97,124.02,34.8,150174.45,1.44,722.0,0.03,8343.02,4315.6,0.03,32.0,64.0,129.0,0.19,329.0,393.0,52.0,11.0,171.0,2.42,162.0,b'N'
18.0,21.0,14.0,0.0,51.0,32.0,11.0,0.08,12.0,7.0,0.64,85.0,6.0,0.5,137.0,0.0,3.0,0.27,206.64,27.45,155671.12,1.89,838.0,0.04,8648.4,5671.74,0.55,10.0,16.0,76.0,0.05,344.0,494.0,94.0,15.0,208.0,27.13,137.0,b'N'
25.0,35.0,10.0,0.0,23.0,68.0,18.0,0.16,34.0,16.0,0.89,102.0,1.0,0.0,113.0,2.0,14.0,0.78,68.57,52.29,187492.59,1.2,589.0,0.02,10416.25,3585.52,0.06,17.0,34.0,86.0,0.11,251.0,338.0,48.0,20.0,165.0,16.91,113.0,b'N'
28.0,29.0,8.0,3.0,25.0,44.0,15.0,0.15,16.0,4.0,0.27,68.0,12.0,0.79,100.0,0.0,0.0,0.0,46.96,56.64,150652.61,0.89,456.0,0.02,8369.59,2659.8,0.8,14.0,22.0,55.0,0.09,145.0,311.0,32.0,25.0,158.0,21.88,103.0,b'N'
6.0,97.0,3.0,0.0,4.0,192.0,49.0,0.17,96.0,1.0,0.02,242.0,1.0,0.0,291.0,0.0,49.0,1.0,303.55,25.59,198748.74,2.59,1141.0,0.04,11041.6,7767.19,0.02,48.0,96.0,195.0,0.16,522.0,619.0,102.0,10.0,303.0,1.36,291.0,b'N'
10.0,42.0,6.0,16.0,29.0,36.0,29.0,0.19,18.0,23.0,0.79,91.0,1.0,0.0,135.0,0.0,28.0,0.97,58.76,51.27,154440.0,1.0,470.0,0.02,8580.0,3012.41,0.03,9.0,18.0,64.0,0.15,198.0,272.0,56.0,29.0,193.0,25.0,151.0,b'Y'
25.0,55.0,10.0,37.0,19.0,86.0,28.0,0.18,32.0,15.0,0.54,109.0,23.0,0.81,116.0,1.0,27.0,0.96,96.28,43.05,178420.08,1.38,628.0,0.02,9912.23,4144.75,0.82,27.0,43.0,83.0,0.1,277.0,351.0,74.0,23.0,271.0,32.56,153.0,b'Y'
